start station id,Station Name,start station latitude,start station longitude,Number of Starts 2018,Percentage of Total Starts 2018,end station id,end station latitude,end station longitude,Number of Ends 2018,Percentage of Total Ends 2018
3107.0,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,2073.0,4.53,3107,40.72311651,-73.95212324,1923,2.5
3301.0,Columbus Ave & W 95 St,40.7919557,-73.968087,2068.0,4.52,3301,40.7919557,-73.968087,1025,1.33
146.0,Hudson St & Reade St,40.71625008,-74.0091059,2055.0,4.49,146,40.71625008,-74.0091059,1840,2.39
295.0,Pike St & E Broadway,40.71406667,-73.99293911,2041.0,4.46,295,40.71406667,-73.99293911,1888,2.46
3243.0,E 58 St & 1 Ave,40.75892386,-73.96226227,2041.0,4.46,3243,40.75892386,-73.96226227,1673,2.18
3166.0,Riverside Dr & W 72 St,40.78057799,-73.98562431,2040.0,4.45,3166,40.78057799,-73.98562431,1597,2.08
3156.0,E 72 St & York Ave,40.76663814,-73.95348296,2004.0,4.38,3156,40.76663814,-73.95348296,1568,2.04
259.0,South St & Whitehall St,40.70122128,-74.01234218,1964.0,4.29,259,40.70122128,-74.01234218,1939,2.52
3132.0,E 59 St & Madison Ave,40.76350532,-73.97109243,1961.0,4.28,3132,40.76350532,-73.97109243,1606,2.09
257.0,Lispenard St & Broadway,40.71939226,-74.00247214,1930.0,4.21,257,40.71939226,-74.00247214,1774,2.31
3092.0,Berry St & N 8 St,40.7190095,-73.95852515,1924.0,4.2,3092,40.7190095,-73.95852515,1773,2.31
164.0,E 47 St & 2 Ave,40.75323098,-73.97032517,1913.0,4.18,164,40.75323098,-73.97032517,1673,2.18
3235.0,E 41 St & Madison Ave,40.75216528,-73.97992194,1905.0,4.16,3235,40.75216528,-73.97992194,1729,2.25
3129.0,Queens Plaza North & Crescent St,40.75110165,-73.94073717,1903.0,4.16,3129,40.75110165,-73.94073717,1113,1.45
284.0,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,1897.0,4.14,284,40.73901691,-74.00263761,1848,2.4
321.0,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1881.0,4.11,321,40.69991755,-73.98971773,1464,1.9
386.0,Centre St & Worth St,40.71494807,-74.00234482,1870.0,4.08,386,40.71494807,-74.00234482,1685,2.19
330.0,Reade St & Broadway,40.71450451,-74.00562789,1865.0,4.07,330,40.71450451,-74.00562789,1624,2.11
392.0,Jay St & Tech Pl,40.695065,-73.987167,1855.0,4.05,392,40.695065,-73.987167,1459,1.9
228.0,E 48 St & 3 Ave,40.7546011,-73.97187886,1832.0,4.0,228,40.7546011,-73.97187886,1596,2.08
302.0,Avenue D & E 3 St,40.72082834,-73.97793172,1831.0,4.0,302,40.72082834,-73.97793172,1668,2.17
3162.0,W 78 St & Broadway,40.78339981,-73.98093133,1820.0,3.97,3162,40.78339981,-73.98093133,1261,1.64
467.0,Dean St & 4 Ave,40.68312489,-73.97895137,1817.0,3.97,467,40.68312489,-73.97895137,458,0.6
3176.0,W 64 St & West End Ave,40.77452835,-73.98753759,1797.0,3.92,3176,40.77452835,-73.98753759,1512,1.97
362.0,Broadway & W 37 St,40.75172632,-73.98753523,1789.0,3.91,362,40.75172632,-73.98753523,1627,2.12
320.0,Leonard St & Church St,40.717571,-74.005549,1771.0,3.87,320,40.717571,-74.005549,1568,2.04
